stress_period,start_date,end_date,strategy,cumulative_return,annualized_volatility,max_drawdown,entry_rebalance_date,top_positions_at_entry
COVID_2020,2020-02-20,2020-03-31,SPY,-0.23371273723463737,0.7925695563995016,-0.33443856565949387,2019-11-01,"SPY:1.000, QQQ:0.000, IWM:0.000"
COVID_2020,2020-02-20,2020-03-31,Equal Weight,-0.13582323075300684,0.4787999746448686,-0.21868393921679674,2019-11-01,"SPY:0.100, QQQ:0.100, IWM:0.100"
COVID_2020,2020-02-20,2020-03-31,Minimum Variance,-0.05218592494084717,0.2813109137545308,-0.14935553013945876,2019-11-01,"IEF:0.300, LQD:0.300, GLD:0.105"
COVID_2020,2020-02-20,2020-03-31,Maximum Sharpe,-0.08204923540417841,0.3814115821202816,-0.1774893709903968,2019-11-01,"LQD:0.300, SPY:0.275, TLT:0.184"
COVID_2020,2020-02-20,2020-03-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.05673675717191118,0.2951136134850312,-0.14403753843512193,2019-11-01,"IEF:0.300, LQD:0.300, SPY:0.277"
COVID_2020,2020-02-20,2020-03-31,Inverse Volatility,-0.08580643238070107,0.3557320425901264,-0.1748506603884244,2019-11-01,"LQD:0.215, IEF:0.206, TLT:0.090"
COVID_2020,2020-02-20,2020-03-31,Equal Risk Contribution,-0.06789274012131474,0.313357716880067,-0.15440076044518714,2019-11-01,"IEF:0.263, LQD:0.167, TLT:0.108"
RATE_HIKE_2022,2022-04-01,2022-10-31,SPY,-0.13765017816844538,0.256122603177711,-0.21284745346895634,2022-04-01,"SPY:1.000, QQQ:0.000, IWM:0.000"
RATE_HIKE_2022,2022-04-01,2022-10-31,Equal Weight,-0.1746291284971152,0.16902073103713394,-0.21191389334492527,2022-04-01,"SPY:0.100, QQQ:0.100, IWM:0.100"
RATE_HIKE_2022,2022-04-01,2022-10-31,Minimum Variance,-0.15294273212592868,0.11576236742474331,-0.17008256408134845,2022-04-01,"IEF:0.300, LQD:0.239, GLD:0.143"
RATE_HIKE_2022,2022-04-01,2022-10-31,Maximum Sharpe,-0.16812097796967373,0.1869613673850786,-0.21205812059698526,2022-04-01,"QQQ:0.300, GLD:0.300, TLT:0.269"
RATE_HIKE_2022,2022-04-01,2022-10-31,Combined Robust Max Sharpe λ=0.50 γ=0.10,-0.15027570600876783,0.13972485032392537,-0.17619748921004846,2022-04-01,"IEF:0.300, GLD:0.237, SPY:0.177"
RATE_HIKE_2022,2022-04-01,2022-10-31,Inverse Volatility,-0.16222036221511416,0.1372965221631076,-0.188291235110766,2022-04-01,"IEF:0.255, LQD:0.147, GLD:0.104"
RATE_HIKE_2022,2022-04-01,2022-10-31,Equal Risk Contribution,-0.16474274451645088,0.12887319983825668,-0.18675989737304322,2022-04-01,"IEF:0.300, TLT:0.158, GLD:0.114"
