strategy,rebalance_date,asset,delta_weight,absolute_delta_weight,previous_weight,current_weight,turnover
Minimum CVaR,2020-04-01,LQD,-0.257927503595053,0.257927503595053,0.3,0.0420724964049468,0.508460523606519
Minimum CVaR,2020-04-01,QQQ,0.226011063385843,0.226011063385843,0,0.226011063385843,0.508460523606519
Minimum CVaR,2020-04-01,TLT,0.159901178033556,0.159901178033556,0.064161887122594,0.22406306515615,0.508460523606519
Minimum CVaR,2021-04-01,LQD,0.3,0.3,0,0.3,0.417885938008759
Minimum CVaR,2021-04-01,SPY,-0.175300162170239,0.175300162170239,0.175300162170239,0,0.417885938008759
Minimum CVaR,2021-04-01,EFA,0.117885938008759,0.117885938008759,0.0385038379847337,0.156389775993493,0.417885938008759
Minimum CVaR,2018-03-01,SPY,-0.225085388638638,0.225085388638638,0.226337896811588,0.00125250817294985,0.273390522512977
Minimum CVaR,2018-03-01,GLD,0.11457448529751,0.11457448529751,0.0747754143168159,0.189349899614326,0.273390522512977
Minimum CVaR,2018-03-01,IWM,0.0991225384999923,0.0991225384999923,0,0.0991225384999923,0.273390522512977
Minimum CVaR,2025-12-01,TLT,0.145968387406057,0.145968387406057,0.0405144045756386,0.186482791981696,0.198725858389838
Minimum CVaR,2025-12-01,GLD,-0.123964848422017,0.123964848422017,0.236521787607582,0.112556939185565,0.198725858389838
Minimum CVaR,2025-12-01,SPY,-0.0512969056344379,0.0512969056344379,0.0994997034833961,0.0482027978489582,0.198725858389838
Minimum CVaR,2022-02-01,EFA,0.163697608663913,0.163697608663913,0.136302391336087,0.3,0.196780377877139
Minimum CVaR,2022-02-01,VNQ,-0.151518179014256,0.151518179014256,0.153683059158703,0.00216488014444647,0.196780377877139
Minimum CVaR,2022-02-01,TLT,-0.0452621988628826,0.0452621988628826,0.0452621988628826,0,0.196780377877139
